incident id;report number;title;date published;date submitted;date modified;date downloaded;url;source domain;language;image;authors;submitters
10;23;"​Is Starbucks shortchanging its baristas?";"2015-09-24";"2019-06-01";"2026-05-11";"2019-04-13";"https://www.cbsnews.com/news/is-starbucks-shortchanging-its-baristas/";"cbsnews.com";"en";"https://cbsnews1.cbsistatic.com/hub/i/r/2015/03/17/01a38576-5108-40f7-8df8-5416164ed878/thumbnail/1200x630/ca8d35fe6bc065b5c9a747d92bc6d94c/154211248.jpg";"Aimee Picchi";"Catherine Olsson"
313;1967;"Tweet: @MarietjeSchaake";"2022-08-25";"2022-08-26";"2022-08-29";"2022-08-26";"https://twitter.com/MarietjeSchaake/status/1562515297688399873";"twitter.com";"en";"https://pbs.twimg.com/media/Fa8rYYVWIAAI0xN?format=jpg";"Marietje Schaake";"Cesar Varela"
173;1551;"Hundreds of AI tools have been built to catch covid. None of them helped.";"2021-07-30";"2022-03-30";"2025-07-03";"2022-03-30";"https://www.technologyreview.com/2021/07/30/1030329/machine-learning-ai-failed-covid-hospital-diagnosis-pandemic/";"technologyreview.com";"en";"https://wp.technologyreview.com/wp-content/uploads/2021/07/AP_20178810286930.jpg?resize=1200,600";"William Douglas Heaven";"Anonymous"
47;835;"LinkedIn’s search algorithm apparently favored men until this week";"2016-09-07";"2019-06-01";"2020-06-14";"2019-04-13";"https://qz.com/775597/linkedins-lnkd-search-algorithm-apparently-favored-men-until-this-week/";"qz.com";"en";"https://cms.qz.com/wp-content/uploads/2016/09/linkedin.jpg?quality=75&strip=all&w=1400";"Ashley Rodriguez";"Roman Yampolskiy"
135;1470;"The Death and Life of an Admissions Algorithm";"2020-12-14";"2021-10-25";"2021-10-25";"2021-10-25";"https://www.insidehighered.com/admissions/article/2020/12/14/u-texas-will-stop-using-controversial-algorithm-evaluate-phd";"insidehighered.com";"en";"https://www.insidehighered.com/sites/default/server_files/media/Main_Building_%28University_of_Texas_at_Austin%29_-_DSC08595.jpg";"Lilah Burke";"Patrick Hall"
60;1118;"That Viral 'FaceApp' Is Making Everyone Look Whiter";"2017-04-25";"2019-06-01";"2020-06-14";"2019-04-13";"https://motherboard.vice.com/en_us/article/qkqwxp/that-viral-faceapp-is-making-everyone-look-whiter";"motherboard.vice.com";"en";"https://video-images.vice.com/articles/58fe76c31a8974662fc36122/lede/1493071587678-C9y9YvFUAAAiINd.jpeg?crop=0.83xw:0.9982xh;0.0867xw,0xh&resize=1200:*";"Sarah Emerson";"Roman Yampolskiy"
152;1509;"Humanoid Robot Keeps Getting Fired From His Jobs";"2021-07-13";"2022-01-09";"2025-04-13";"2022-01-09";"https://www.wsj.com/articles/humanoid-robot-softbank-jobs-pepper-olympics-11626187461";"wsj.com";"en";"https://images.wsj.net/im-367980/social";"Miho Inada";"Anonymous"
69;1245;"Robot Stabs A Man To Death At A Factory In Haryana's Manesar!";"2015-08-13";"2019-06-01";"2022-06-23";"2019-04-13";"https://www.indiatimes.com/news/india/robot-stabs-a-man-to-death-at-a-factory-in-haryanas-manesar-244108.html";"indiatimes.com";"en";"https://media.indiatimes.in/media/facebook/2015/Aug/robot-1-600-card_1439446990_600x315.jpg";"Aakar Patel";"Anonymous"
39;679;"A.I. Video Depicting Barack Obama Shows Dangers of Fake News";"2018-04-24";"2019-06-01";"2020-06-14";"2019-04-13";"https://www.blackenterprise.com/video-barack-obama-fake-news/";"blackenterprise.com";"en";"https://a9p9n2x2.stackpathcdn.com/wp-content/blogs.dir/1/files/2018/03/the-obamas-potus.jpg";"Janell Hazelwood";"Anonymous"
175;1606;"Driverless car starts to pull away after being stopped by police";"2022-04-11";"2022-05-16";"2025-01-17";"2022-05-16";"https://news.sky.com/story/driverless-car-starts-to-pull-away-after-being-stopped-by-police-12588083";"news.sky.com";"en";"https://e3.365dm.com/22/04/1600x900/skynews-cruise-san-francisco_5736609.jpg?20220411131547";"Anonymous";"Anonymous"
6;1374;"Tay (bot)";"2020-11-14";"2020-12-07";"2020-12-07";"2020-11-14";"https://en.wikipedia.org/wiki/Tay_(bot)";"en.wikipedia.org";"en";"https://upload.wikimedia.org/wikipedia/en/6/6c/Tay_bot_logo.jpg";"Wikipedia Editors";"Thomas Giallella (CSET)"
57;1065;"Centrelink robo-debt 'abject failure' and arguably unlawful, Victoria Legal Aid says";"2017-04-11";"2019-06-01";"2020-06-14";"2019-04-13";"https://www.theguardian.com/australia-news/2017/apr/11/centrelink-robo-debt-abject-failure-and-arguably-unlawful-victoria-legal-aid-says";"theguardian.com";"en";"https://i.guim.co.uk/img/media/676bcb128db43e768f7df6d82f357053009a91c0/1040_0_3668_2201/master/3668.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMTcucG5n&s=5ac2d497a1e08d83e927331fb76065cd";"Christopher Knaus";"Roman Yampolskiy"
